,user,time,location,text
26,MurfAD,2020-10-01 15:14:09,Canada,CPI remains static due to low prices of petroleum. Food prices as anyone who has been in a supermarket recently wil… https://t.co/JofcAfpkcL
27,anuragteddy,2020-10-01 15:13:14,India,RT @ThisrtyScholarr: We need more vegetarians so that demand of non veg food decreases and prices come down. https://t.co/sSKaNVyc6U
28,camcath,2020-10-01 15:10:43,"Astoria, Oregon","@CoryBooker So much more urgent. Fourth month of not being able to pay rents/ mortgages, pay utilities, just for st… https://t.co/zLWQiByYrf"
29,ThisrtyScholarr,2020-10-01 15:09:54,,We need more vegetarians so that demand of non veg food decreases and prices come down. https://t.co/sSKaNVyc6U
30,jtfdenver,2020-10-01 15:09:12,"Denver, CO","@NikkiHaley My health care costs went up, food prices went up, and my taxes went up.  The air and water became more… https://t.co/KaM1TGiXvm"
31,Eagles_Lair,2020-10-01 15:07:38,"Brooklyn, NY","@raisintooth @ZubyMusic Yes, that quality can serve the needs of the poor.  I guess. 
 However, cheap food makes me… https://t.co/FhT4fTqRLc"
32,MbayaLavuna,2020-10-01 15:04:23,,"RT @DennoBeb: @19thgeneration The economy is not creating jobs for graduates, debt levels are soaring, food prices rising, and mega corrupt…"
33,MbayaLavuna,2020-10-01 15:04:04,,"RT @DennoBeb: The economy is not creating jobs for graduates, debt levels are soaring, food prices rising, and mega corruption continues un…"
34,MbayaLavuna,2020-10-01 15:03:41,,"RT @Lady_M254: The economy is not favourable for business, higher food prices ,mega corruption scandals...This is what our Government has d…"
35,_RaeNicole_,2020-10-01 15:02:52,"Baltimore, MD",Yall ever been to a fancy grocery store with its fancy food and high prices and know you don’t belong there? 😂
36,RoryTDC,2020-10-01 15:02:41,,"Food Prices Rising, Inflation Kicks Into High Gear as Banks and Big Oil Intensify Layoffs! (Video) https://t.co/h0aIQXBfpB"
37,philippcjahn,2020-10-01 15:01:53,Sudan,RT @GerritKurtz: Imagine a situation where you are already struggling to put food on the table - and then food prices increase by 200% in a…
38,BesosJosefina,2020-10-01 14:56:41,"Sydney, New South Wales","RT spread the word, our country needs help in the agricultural sector.  If not,  food will get wasted &amp; prices will… https://t.co/7CNO0NRvjV"
39,GlorifieDrafter,2020-10-01 14:45:27,"San Diego, CA USA","@geostylegeo It depends on what it is?

Covid, real estate market that prices middle class out of home ownership, i… https://t.co/qSx32qvxfj"
40,amcgmobile,2020-10-01 14:44:49,Brussels,"EU Meat Market Observatory - BEEF updates:
Weekly beef prices
Latest carcase prices
Latest live bovine animal prices
https://t.co/Ksk8YQk12c"
41,KibiroMugo,2020-10-01 14:43:39,Kenya,"RT @KipKipyego: Raila Odinga has warned youth to be cautious of #PoliticsOfDeceitKe. You will be given wheelbarrows to go do jua kali, earn…"
42,CNXObserver,2020-10-01 14:43:04,"Chiang Mai, Thailand","Finally got around to trying Ohkajhu Organic restaurant and yes, it deserves the good reviews. Tasty, fresh food, w… https://t.co/650wdOfET0"
43,DSA_PPC,2020-10-01 14:36:40,,Surplus food is kept out of the market and thrown away to prevent prices from going down. Surplus housing? Capitali… https://t.co/bUXvGs9tgf
44,abidazam,2020-10-01 14:36:30,,"@ImranKhanPTI IK is the most pathetic leader in Paks history,since this lunatic has come to power the poor has gone… https://t.co/mMM2k5ob2R"
45,thirdgenwidget,2020-10-01 14:34:22,,"What changed in 2015?  Why didn't I say the political 2016?

The commodity bubble crashed with the end of QE3.  The… https://t.co/Klbt05JKdD"
46,SirLiamEnglish,2020-10-01 14:33:34,"Wellington City, New Zealand","RT @pulpyfictorious: Ardern is silly.

Wants to investigate rising food prices.

That's what happens when you increase the minimum wage, sw…"
47,LaurenBinDC,2020-10-01 14:32:14,,RT @GerritKurtz: Imagine a situation where you are already struggling to put food on the table - and then food prices increase by 200% in a…
48,centraloforgy8,2020-10-01 14:26:54,,"@GOPChairwoman @realDonaldTrump ....'cuz of these tales of prices of ""transplantation"" has the illusion that it is… https://t.co/sDxGExpYsV"
49,mikejopek,2020-10-01 14:26:36,Whitefish Montana,"RT @FarmPolicy: As of August, food-at-home prices in 2020 were above 2019 levels, @USDA_ERS https://t.co/aOrW4M1bIX"
50,FarmPolicy,2020-10-01 14:26:08,"Champaign, IL","As of August, food-at-home prices in 2020 were above 2019 levels, @USDA_ERS https://t.co/aOrW4M1bIX"
51,GoSeeDoATL,2020-10-01 14:26:07,,"Looking for something different? Try Destinations Eatery at GICC. M-F 11am-3pm. Takeout, Curbside Pickup, Catering… https://t.co/mIoA3vuWKO"
52,GerritKurtz,2020-10-01 14:25:49,Berlin,Imagine a situation where you are already struggling to put food on the table - and then food prices increase by 20… https://t.co/UKwPvUoJJO
53,CarlCord2,2020-10-01 14:25:15,,#Agenda21 Strategy: destroy the farmers first to collapse the food production. When food prices rise and food short… https://t.co/6M6vbd14gX
54,strandedhere2,2020-10-01 14:21:53,USA,@latimes Don't blame Covid. Hollywood needs to blame themselves for price gouging theaters their films when they ov… https://t.co/V2MjsZonQj
55,cooljo_king,2020-10-01 14:19:57,,"@WhichUK to those who answered yes: of course, you're willing to pay for others then, right??? Cause you just can't… https://t.co/WxZiUfZ3UQ"
56,JonRedVanilla,2020-10-01 14:17:21,Sheffield,"RT @chrisconnolly83: Apparently I should mention there’s more to Sheffield than hills and bike riding, I mean I’m sure there is.  Like £2.5…"
57,GRABBARANKS,2020-10-01 14:14:51,"Brooklyn, NY",proud to say i made this beat for food network! DM me for prices for beats 🙏🏾 https://t.co/34Jx66Xvpy
58,IxatDnats,2020-10-01 13:56:38,,RT @D_Melissa2: @murpharoo So code Matt Kean (environment minister) chastised by PM Scott Morrison for being honest about the Narrabri gas…
59,herohatta,2020-10-01 13:54:53,,RT @WFP_Syria: Syrian families have been hit month after month by rising food prices. Basic foods in the Syrian diet are now too expensive…
60,delver_rootnose,2020-10-01 13:54:25,,@Budrino @robrousseau And then climate change will take more and more produce producing areas and food prices will rise etc etc
61,crlcan81,2020-10-01 13:51:14,Iowa,"@TorinDarkflight @Ryuuie I've been there once, the food's pretty decent even at those prices but it's not always wo… https://t.co/4Lto0JwmIz"
62,WFP_Syria,2020-10-01 13:50:11,Syria,Syrian families have been hit month after month by rising food prices. Basic foods in the Syrian diet are now too e… https://t.co/PfkJahKG4E
63,songbirdsingin1,2020-10-01 13:49:30,,"@fordnation 

Doug, Ontarians  will freeze and /or starve with a 60% increase of natural gas to heat their homes th… https://t.co/9qX6Ydj6Q2"
64,chan_miyanaga,2020-10-01 13:45:32,,"@S1Ryan @CamiloMedinaOl2 @PlayStation Prices go up. Gas, food, soda, paper, pens, phones, gaming systems... everyth… https://t.co/91i5ERGtQy"
65,iamOmarfaruq,2020-10-01 13:44:04,"Katsina, Nigeria","RT @Mufeeeedaa: Egypt’s minimum wage is 2000EGP which is currently 50,000+ bearing in fact that food is nearly free there,quite cheap,compa…"
66,CebraOrg,2020-10-01 13:43:42,"Basel, Switzerland",RT @F_Vend: #CebraCommodities conference is on now. First paper: “The Interplay between Oil and Food Commodity Prices: Has It Changed over…
67,Chantepoule,2020-10-01 13:43:25,Perigueux,"BREXIT REALITY
The Tories are just about to destroy the City of London where financial services industry supplies o… https://t.co/NwZhDKyO5O"
68,martinosofr,2020-10-01 13:43:01,,"@channelstv He's mad. So Insecurity, Kidnapping, Bigotry, Nepotism, Disregard for rule of Law, Fascism, Fuel Price,… https://t.co/SxszDXFBzv"
69,nelliekillian,2020-10-01 13:42:31,"Brooklyn, New York",@likaluca I don’t want to say anything bad about the imperiled 80 year old institution with the worst food and the highest prices.
70,EliBeatz_pro,2020-10-01 13:41:30,Kaduna,"RT @Tosin64817261: @EaglesACU 2. Station Roundabout:

Eat well to live well. Food is not just meant to be eaten as a necessity. Food can al…"
71,MbuthaniN,2020-10-01 13:39:44,,"RT @WandileSihlobo: South Africa’s food price inflation slowed to 4.3% y/y in August 2020 from 4.6% in the previous month. 

This was prima…"
72,Spongydevil,2020-10-01 13:35:07,"Federal Capital Territory, Nig",RT @SaharaReporters: 'We Can't Afford It Any Longer': Nigerians Lament As Prices Of Staple Food Nearly Double | Sahara Reporters https://t.…
73,tezisold,2020-10-01 13:34:13,West Midlands UK,"Food Prices Rising, Inflation Kicks Into High Gear as Banks and Big Oil Intensify Layoffs!
https://t.co/EmEFwhvXVN"
74,ellinst,2020-10-01 13:33:45,around,"As of Sept 29, 50% think UK was wrong to leave the EU, 39% think it was right. Buyer's remorse at an all-time high.… https://t.co/hMW7eIqKiZ"
75,chadmoutray,2020-10-01 13:32:20,"Alexandria, VA","On a year-over-year basis, energy prices have fallen 9.4%, with prices for food up 4.3%. Despite higher costs in th… https://t.co/ZX3Ag7Z6wa"
76,DamianClough2,2020-10-01 13:32:09,Leamington Spa ,"@d5_rss @paulhog @notfittoserve @MartinDaubney You can sit back smiling (whilst paying tariffs on your goods, highe… https://t.co/84BBbD923V"
77,chadmoutray,2020-10-01 13:32:01,"Alexandria, VA","Overall, the PCE deflator has risen 1.4% year-over-year, and core inflation, which excludes food and energy costs,… https://t.co/DvbJgtL4xj"
78,PaulaBr95352625,2020-10-01 13:31:21,,@POTUS We need an executive order for Stimulus money. Food prices have doubled and bills are still  coming in. Help… https://t.co/Nz6ra6L0Ip
79,Kazmadio,2020-10-01 13:28:00,Nigeria,@IAmBrandNigeria @otegaogra @MrFixNigeria @seunokin @MaupeO @osaeB @GimbaUmarCTV @segalink @TosinCole @eggheader… https://t.co/03cHzI1pbK
80,Chebet_Chemutai,2020-10-01 13:27:11,"Ukunda, Kenya","RT @KipKipyego: Raila Odinga has warned youth to be cautious of #PoliticsOfDeceitKe. You will be given wheelbarrows to go do jua kali, earn…"
81,F_Vend,2020-10-01 13:25:27,,#CebraCommodities conference is on now. First paper: “The Interplay between Oil and Food Commodity Prices: Has It C… https://t.co/ZPLNkf1NsC
82,WasOnceLoved,2020-10-01 13:25:10,London. Yay. ,"@DebateHazel That doesn’t detract from the food inflation caused by the brexit ref £ cliff fall. 

It’s about 9% us… https://t.co/hIbttP2FRD"
83,sellitinPHnow,2020-10-01 13:24:46,"Port Harcourt, Nigeria",RT @LagosWatchSella: @foodcrowdy will be launched in the Lagos today!!! Visit https://t.co/DgS9o7sDD4 to order very affordable food stuffs…
84,AJ_297,2020-10-01 13:23:48,"London, England",am I bugging or have food prices gone up in some restaurants ? Extortion rts 😪
85,Kazmadio,2020-10-01 13:22:15,Nigeria,@IAmBrandNigeria @otegaogra @MrFixNigeria @seunokin @MaupeO @osaeB @GimbaUmarCTV @segalink @TosinCole @eggheader… https://t.co/oRPAaNHEwq
86,iamrealmarvin,2020-10-01 13:21:06,"Frisco, Quezon City",RT @PTVph: The National Food Authority (NFA) is convincing farmers to sell their palay to the agency amid the decline of palay prices which…
87,saeverley,2020-10-01 13:20:12,"Washington, DC",@Ed_Crooks It tracks oil prices. The flip side of this is that if the ETF had generated a major return for investor… https://t.co/LJDRryhgyT
88,thisisdan79,2020-10-01 13:20:05,,@alrauph4real @KunleAbdul_ @YeleSowore @MBuhari Keep deceiving yourself that he has done better. The state of insec… https://t.co/Gbq97B3A2s
89,LetoyaLemein,2020-10-01 13:14:35,"Nairobi, Kenya",RT @ledamalekina: Central Kenya + Mt. Kenya you will remember me forever. You have converted your entire lands into concrete! How many of y…
90,McnellisWilliam,2020-10-01 13:12:34,minnesota,"RT @Dontknowabtu: @McnellisWilliam People of all races are broke, food prices go up, gas, electric, rent. Where can you live? Landlords and…"
91,c0okieeeee,2020-10-01 13:11:14,"Texas, USA",@coco__shenelle Shit salary! Cuz ppl supposed to survive WAPA and housing every month AND still live a comfortable… https://t.co/x2CLZECLgr
92,kimbapswap,2020-10-01 13:10:52,United States,"12/

Q: Are you running a bot? What if the prices fluctuate and your manual orders get arbitraged?

A: Bot is not r… https://t.co/lmulaT5sT1"
93,PointBreakWW,2020-10-01 13:10:32,,Student%20Backlash%20Over%20Lockdowns%20Spreads%20to%20Guangzhou%20as%20Trash%20Piles%20Up%2C%20Food%20Prices%20Soar https://t.co/SOVCHseLoN
94,housefan20,2020-10-01 13:07:24,Katlehong,@Blazee4fun @LordSizwe @MbuyiseniNdlozi You'll get shot/bombed within a month. You think these people are here to p… https://t.co/B8Gpg8Yyur
95,elmerythrocyte,2020-10-01 13:07:16,Pagadian City,RT @PTVph: The National Food Authority (NFA) is convincing farmers to sell their palay to the agency amid the decline of palay prices which…
96,akeemsado1,2020-10-01 13:07:15,Rebirth of a true Nigerian,RT @LagosWatchSella: @foodcrowdy will be launched in the Lagos today!!! Visit https://t.co/DgS9o7sDD4 to order very affordable food stuffs…
97,Dontknowabtu,2020-10-01 13:06:39,Under ground bunker,"@McnellisWilliam People of all races are broke, food prices go up, gas, electric, rent. Where can you live? Landlor… https://t.co/BHnwmGcgcu"
98,PTVph,2020-10-01 13:06:16,Philippines,The National Food Authority (NFA) is convincing farmers to sell their palay to the agency amid the decline of palay… https://t.co/epck6Xtrqk
99,TheGoodThingsP2,2020-10-01 13:02:52,,@HermanMashaba U live in cloud kookoo land. This here are the shelves of a retail chain in Zimbabwe. There is no sh… https://t.co/7oQLoPcnkZ
